channel,date_field,date_source,engine,ev_id,is_first_of_minor,line,minor_series,released_on,schema,tag,v,version
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-11-02,releases,3.4-rc3,0.1,3.4
stable,published_at,godotengine/godot,godot,220661a691a4,True,3.x,3.4,2021-11-05,releases,3.4-stable,0.1,3.4
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-11-26,releases,3.4.1-rc1,0.1,3.4.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-12-08,releases,3.4.1-rc2,0.1,3.4.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2021-12-15,releases,3.4.1-rc3,0.1,3.4.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.4,2021-12-17,releases,3.4.1-stable,0.1,3.4.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.4,2021-12-22,releases,3.4.2-stable,0.1,3.4.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-01-13,releases,3.5-beta1,0.1,3.5
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-01-24,releases,4.0-alpha1,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2022-02-03,releases,3.4.3-rc1,0.1,3.4.3
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-02-09,releases,4.0-alpha2,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2022-02-17,releases,3.4.3-rc2,0.1,3.4.3
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-02-22,releases,4.0-alpha3,0.1,4.0
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.4,2022-02-25,releases,3.4.3-stable,0.1,3.4.3
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.4,2022-03-08,releases,3.4.4-rc1,0.1,3.4.4
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-03-08,releases,4.0-alpha4,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-03-15,releases,3.5-beta2,0.1,3.5
